SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
3, 0.3800, 19, 0.00349820, -0.99499786, 0.14833263, -1.12265658, -0.24227247, 0.60082781, 0.38108814, -39.45646286, 11.67211819, 23.27519608, 7.13503838, -65.68462372, 0.81449336, -0.20220302, 0.05798246, 0.54069650, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3800, 19, -0.03157082, -1.00474322, 0.06071724, -0.14473778, 0.09333523, -0.04591433, -34.60723877, -65.98284912, 8.68535709, 90.69521332, -1.32077122, -149.35800171, -0.19359528, 0.18014188, -0.68819600, -0.67561531, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.4000, 20, 0.00109204, -0.99500299, 0.14950810, 0.01587799, 0.66208208, 0.01374147, 0.38108814, -39.66302872, 11.50671196, 23.35090446, 7.11646748, -65.67999268, 0.81440747, -0.20265926, 0.05846567, 0.54060304, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4000, 20, -0.03107663, -1.00543797, 0.05977739, -0.22435576, 0.23156214, -0.16267374, -34.63695526, -66.32857513, 7.98514318, 90.69052887, -1.31867111, -149.35289001, -0.19362023, 0.18017712, -0.68815714, -0.67563844, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4200, 21, -0.03076643, -1.00617456, 0.05968978, -0.06186363, 0.35079324, -0.21488111, -34.99362946, -66.64548492, 7.63504410, 90.68773651, -1.33502042, -149.34394836, -0.19377485, 0.18012904, -0.68815196, -0.67561209, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.4200, 21, 0.00458045, -0.99448770, 0.14983018, 0.05024567, 0.83863300, 0.05812060, 0.76715833, -39.79212952, 11.73828220, 23.35195541, 7.11323404, -65.66368866, 0.81448698, -0.20266037, 0.05846517, 0.54048276, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.4400, 22, 0.00659805, -0.99549413, 0.14865255, -0.05735998, 0.68135357, 0.16397381, 0.35138953, -39.58556747, 12.00293064, 23.35027504, 7.10817719, -65.65050507, 0.81455922, -0.20263225, 0.05847047, 0.54038382, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4400, 22, -0.03112700, -1.00470519, 0.06006042, -0.09993535, 0.40439335, -0.06464192, -34.93418503, -66.15571594, 8.42277527, 90.68592834, -1.33396721, -149.33590698, -0.19381885, 0.18018053, -0.68812704, -0.67561120, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4600, 23, -0.03048975, -1.00569344, 0.05861469, -0.15765427, 0.26337117, -0.25705343, -34.78557205, -66.12690735, 7.57669163, 90.68222809, -1.33023858, -149.33007813, -0.19383682, 0.18023142, -0.68809026, -0.67562997, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.4600, 23, 0.00815642, -0.99564981, 0.14664558, -0.07895273, 0.83813727, 0.19768117, 0.49987867, -39.04333115, 11.77136040, 23.41111946, 7.11419439, -65.65956879, 0.81440037, -0.20308733, 0.05872996, 0.54042435, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4800, 24, -0.03042194, -1.00470579, 0.05780164, -0.03771013, 0.22406621, -0.15409465, -34.96390915, -65.46427917, 7.60586405, 90.67536163, -1.34907615, -149.32096863, -0.19401371, 0.18016271, -0.68806469, -0.67562354, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.4800, 24, 0.00839752, -0.99507695, 0.14617524, 0.09153999, 0.25519285, 0.28924140, 0.85625219, -40.05033493, 11.30822372, 23.41276550, 7.10802841, -65.65550232, 0.81442529, -0.20307319, 0.05877508, 0.54038727, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5000, 25, -0.02880330, -1.00600934, 0.05746644, -0.08206093, 0.13097100, 0.03192061, -34.78557205, -66.18452454, 7.51833916, 90.67300415, -1.35020006, -149.31837463, -0.19403942, 0.18016765, -0.68804848, -0.67563134, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.5000, 25, 0.00630406, -0.99527830, 0.14791435, 0.05739756, 0.10808400, 0.21056730, 0.67806643, -40.54092789, 10.31579113, 23.53012657, 7.10046244, -65.68123627, 0.81410617, -0.20385955, 0.05942893, 0.54050052, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.5200, 26, 0.00460530, -0.99436796, 0.14671977, 0.17281881, 0.40743205, 0.25818640, 0.67806643, -39.68884659, 10.61352158, 23.53325272, 7.09482527, -65.67356873, 0.81414467, -0.20386019, 0.05947077, 0.54043758, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
